mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,label
-265.9371,114.91201,-35.319885,10.318928,4.339985,-12.872276,-4.8856506,-7.9398165,-12.818471,1.39729,-5.1707377,-1.125127,-1.3156407,-0.84751755,-5.077101,-0.4837962,-4.686765,-4.363131,-2.1579561,0.08753037,-8.273182,0.19403064,-5.2116327,-3.9022708,-3.1250725,-3.2358332,-3.1126802,-1.5908368,-3.0083084,0.11864512,-2.24009,0.16467376,2.651669,4.4625945,1.4280715,5.479883,0.99341047,3.690665,2.0125277,3.668105,AI
-271.0555,99.14996,-19.926199,1.827676,-10.809439,-4.114848,-12.782681,-8.306321,-7.867039,-1.9073977,-5.881211,-3.880789,-4.1905665,-3.1794093,-8.469823,-1.2411674,-6.511288,-4.262282,-3.1972373,-3.801416,-5.6335654,-1.5198339,-1.6499985,-0.39378378,-0.4346889,1.7804561,-0.871083,-0.11939612,0.26675835,-0.5976036,-1.6946799,-1.334492,-1.2473329,-0.20424937,-2.5337791,-1.686033,-2.6725087,-2.7857265,-2.568977,-0.8113568,AI
-251.47913,62.215416,-28.646795,-8.56504,-17.161648,-11.8119955,-13.437456,-10.132369,-12.980486,-3.4242191,-8.6342745,-4.5605006,-4.0783477,-3.7981954,-6.9731894,-0.27507877,-10.173227,-3.9105124,-4.2688813,-8.432479,-7.2204623,-0.4009829,-3.5606022,3.6641417,3.3230846,3.526535,0.8872067,2.2142775,0.4223142,1.0632124,-0.3624449,0.26240477,-1.8195096,0.327679,-1.4106194,-0.21905228,-2.915584,-0.38437137,-3.1179202,-0.8923261,AI
-254.0838,59.43,-19.851704,5.1702237,-16.843,-12.904491,-9.021144,-6.145877,-10.050382,-0.50218433,-10.774693,-2.4551573,-9.949532,-6.5948253,-8.461963,-11.209238,-9.715172,-5.226934,-11.712437,-5.7057776,-7.2555046,-3.181564,-4.767877,4.0276093,-1.6862329,2.5391946,0.8755018,-0.4201435,-0.12016942,0.31863645,-3.4828978,0.0076784636,-2.904411,-0.11335166,-3.4880943,-0.9099794,-3.2563996,-2.7411673,-3.1848345,-0.6567726,AI
-276.82056,84.936806,-23.854198,-6.8037515,-5.1089354,-10.3545885,-11.670987,-6.406674,-12.044895,-8.89358,1.0763454,-10.739387,-3.039114,-1.7966006,-5.537096,-1.472329,-10.611085,-4.915546,-8.949053,-6.9125786,-5.373471,-1.566681,-4.106535,1.9351002,-1.9735435,3.463619,-1.7136054,4.267278,-1.1081698,3.4447045,-1.2882138,2.7720182,0.081869215,1.1957422,-2.259782,1.2561243,-2.9597638,-0.13964938,-2.4356177,0.70724314,AI
-238.39381,89.14271,12.511682,27.670574,9.348442,4.442112,-8.783315,-6.767813,-5.0406218,2.9617739,-4.8181686,1.2260562,-1.0979323,-2.604109,-2.2367332,0.8629297,-4.9457297,0.63682044,-0.4387541,2.9115465,-5.8728404,-0.17802642,-2.9657388,0.24930102,-4.4214706,2.0601642,-3.2465625,0.34987277,-1.8753648,-0.7326945,-2.9464555,0.56782,-1.4305227,-2.0506709,-1.631743,-1.2390482,-2.681253,0.25081804,-1.0927691,-1.3986013,AI
-357.28317,94.7075,10.227209,22.461142,7.553751,-3.384039,-7.2890973,3.1320047,0.23536675,6.44359,-1.7757188,8.677147,1.5046082,0.10588133,0.92178994,-5.0638204,-3.2859333,5.498099,2.0523233,5.7743473,-0.14799453,-1.156164,1.2626474,10.058658,2.8222144,5.4339113,1.0164821,5.398037,2.9768863,1.2572768,-1.2820609,2.3096163,1.2923299,1.8458223,-0.4777499,2.7439742,0.007653546,1.8384211,1.8474069,4.8583145,AI
-295.92032,109.53102,-7.025134,28.597343,19.71302,-2.8000138,-3.5240524,-6.3459272,-8.217127,2.6815233,-0.12837489,3.240765,1.9279624,5.2961326,-1.2569958,6.253584,-1.077538,-1.6924615,1.8179095,4.21064,-6.9012213,2.78326,-2.9080482,-0.26295793,-1.5932114,1.2569886,0.08986102,1.5901451,-1.5339831,1.468672,-2.3111594,-0.0317841,-0.28505883,2.2154796,-2.143456,1.9995435,-2.5600967,1.5090315,-1.2536001,0.54787517,AI
-253.21373,104.71953,5.93005,20.304974,5.805499,6.0966187,-13.77703,-8.124429,-4.3329535,2.8304522,-0.4986935,0.4974911,-0.2605148,0.38026685,-5.7383175,4.8042173,-2.1868517,-0.31810063,0.16275038,2.5803123,-2.7894378,-0.969884,0.44476026,-0.9143905,-3.11884,2.720147,-2.695696,-0.1518051,-0.83336246,-0.22461508,-1.9391718,1.0633198,-0.5195311,0.7927889,-0.97565717,-0.5332896,-1.3761361,-0.53475845,-1.408708,0.55427897,AI
-322.0656,101.33685,9.855758,26.344671,6.5013843,10.215184,-9.591792,1.2684537,-2.8214593,-0.3673408,1.8464278,3.3241253,1.8516439,2.94002,3.9812264,3.3523252,-3.0359297,2.774205,-0.07896011,-0.87405556,-1.7438502,0.2828891,-0.949678,1.9622897,-0.5503913,2.905715,-2.145538,2.1982358,-1.4084592,-0.4920593,-1.3165785,0.8414065,-1.1296377,0.4489746,-1.3618535,-0.40679672,-2.4781291,0.4995105,-1.2543703,-1.1379752,AI
